num,name,scheme,family,cls,corr,complexity,source,sorry,done,genuine,file
286,Walls and Gates,relaxation,bfs,True,True,O(mn),,False,True,True,lproofs/Lproofs/Problems/Relaxation/P0286_WallsAndGates.lean
287,Find the Duplicate Number,fold,fast-slow,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/Fold/P0287_FindDuplicateNumber.lean
290,Word Pattern,fold,hashing,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/Fold/P0290_WordPattern.lean
291,,dp,backtracking,False,False,,,False,False,,
297,Serialize and Deserialize Binary Tree,dp,tree-construct,True,True,,,False,True,True,lproofs/Lproofs/Problems/DP/P0297_SerializeDeserialize.lean
299,,fold,hashing,False,False,,,False,False,,
300,,dp,dp-linear,False,False,,,False,False,,
301,,relaxation,bfs,False,False,,,False,False,,
303,Range Sum Query - Immutable,fold,prefix-sum,True,True,O(1) query,,False,True,True,lproofs/Lproofs/Problems/Fold/P0303_RangeSumQuery.lean
304,,fold,prefix-sum,False,False,,,False,False,,
305,Number of Islands II,relaxation,union-find,True,True,O(k·α),,False,True,True,lproofs/Lproofs/Problems/Relaxation/P0305_NumberOfIslandsII.lean
309,Best Time to Buy and Sell Stock with Cooldown,dp,dp-linear,True,True,,,False,True,True,lproofs/Lproofs/Problems/DP/P0309_StockCooldown.lean
310,,relaxation,topo-sort,False,False,,,False,False,,
312,Burst Balloons,dp,dp-interval,True,True,O(n³),,False,True,False,lproofs/Lproofs/Problems/DP/P0312_BurstBalloons.lean
314,,relaxation,bfs,False,False,,,False,False,,
317,,relaxation,bfs,False,False,,,False,False,,
322,Coin Change,dp,dp-knapsack,True,True,O(amount·coins),,False,True,True,lproofs/Lproofs/Problems/DP/P0322_CoinChange.lean
326,,fold,math-bit,False,False,,,False,False,,
328,Odd Even Linked List,fold,linked-list,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/Fold/P0328_OddEvenLinkedList.lean
329,Longest Increasing Path in a Matrix,dp,dp-grid,True,True,,,False,True,True,lproofs/Lproofs/Problems/Relaxation/P0329_LongestIncreasingPath.lean
332,Reconstruct Itinerary,relaxation,graph-other,True,True,O(V+E),,False,True,True,lproofs/Lproofs/Problems/Relaxation/P0332_Reach.lean
337,,dp,dp-tree,False,False,,,False,False,,
339,,dp,tree-traversal,False,False,,,False,False,,
340,,fold,sliding-window,False,False,,,False,False,,
343,,dp,dp-linear,False,False,,,False,False,,
344,Reverse String,fold,two-pointers,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/Fold/P0344_ReverseString.lean
345,,fold,two-pointers,False,False,,,False,False,,
349,Intersection of Two Arrays,fold,hashing,True,True,O(n+m),,False,True,True,lproofs/Lproofs/Problems/Fold/P0349_IntersectionOfTwoArrays.lean
354,,bisection,binary-search,False,False,,,False,False,,
368,Largest Divisible Subset,dp,dp-linear,True,True,O(n²),,False,True,True,lproofs/Lproofs/Problems/DP/P0368_LargestDivisibleSubset.lean
371,,fold,math-bit,False,False,,,False,False,,
378,Kth Smallest Element in a Sorted Matrix,bisection,binary-search,True,True,,,False,True,True,lproofs/Lproofs/Problems/Bisection/P0378_KthSmallestSortedMatrix.lean
383,Ransom Note,fold,hashing,True,True,O(n+m),,False,True,True,lproofs/Lproofs/Problems/Fold/P0383_RansomNote.lean
386,,relaxation,dfs-flood,False,False,,,False,False,,
387,First Unique Character in a String,fold,hashing,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/Fold/P0387_FirstUniqueCharacter.lean
389,,fold,math-bit,False,False,,,False,False,,
390,,fold,math-bit,False,False,,,False,False,,
392,Is Subsequence,fold,two-pointers,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/Fold/P0392_IsSubsequence.lean
394,,fold,pairing-stack,False,False,,,False,False,,
396,,fold,math-bit,False,False,,,False,False,,
