company,window,num,rank,family,macro,klass,weight
google,more-than-six-months,27,33,two-pointers,two-pointers,periph,1.0
google,more-than-six-months,206,34,linked-list,linked-list,periph,1.0
google,more-than-six-months,54,35,matrix-sim,matrix-sim,periph,1.0
google,more-than-six-months,118,36,dp-linear,dp,core,1.0
google,more-than-six-months,394,37,pairing-stack,stack,periph,1.0
google,more-than-six-months,2995,38,sql,sql,trivial,1.0
google,more-than-six-months,33,39,binary-search,binary-search,periph,1.0
google,more-than-six-months,283,40,two-pointers,two-pointers,periph,1.0
google,more-than-six-months,136,41,math-bit,math-bit,periph,1.0
google,more-than-six-months,18,42,two-pointers,two-pointers,periph,1.0
google,more-than-six-months,84,43,monotonic-stack,stack,periph,1.0
google,more-than-six-months,410,44,binary-search,binary-search,periph,1.0
google,more-than-six-months,51,45,backtracking,backtracking,core,1.0
google,more-than-six-months,55,46,greedy,greedy,periph,1.0
google,more-than-six-months,28,47,string-matching,string,periph,1.0
google,more-than-six-months,875,48,binary-search,binary-search,periph,1.0
google,more-than-six-months,17,49,backtracking,backtracking,core,1.0
google,more-than-six-months,146,50,design,design,periph,1.0
google,more-than-six-months,162,51,binary-search,binary-search,periph,1.0
google,more-than-six-months,189,52,two-pointers,two-pointers,periph,1.0
google,more-than-six-months,198,53,dp-linear,dp,core,1.0
google,more-than-six-months,35,54,binary-search,binary-search,periph,1.0
google,more-than-six-months,48,55,matrix-sim,matrix-sim,periph,1.0
google,more-than-six-months,347,56,heap-topk,heap-select,periph,1.0
google,more-than-six-months,6,57,string-other,string,periph,1.0
google,more-than-six-months,49,58,hashing,hashing,periph,1.0
google,more-than-six-months,215,59,heap-topk,heap-select,periph,1.0
google,more-than-six-months,242,60,hashing,hashing,periph,1.0
google,more-than-six-months,359,61,design,design,periph,1.0
google,more-than-six-months,75,62,dutch-flag,two-pointers,periph,1.0
google,more-than-six-months,202,63,hashing,hashing,periph,1.0
google,more-than-six-months,73,64,matrix-sim,matrix-sim,periph,1.0
google,more-than-six-months,221,65,dp-grid,dp,core,1.0
google,more-than-six-months,540,66,binary-search,binary-search,periph,1.0
google,more-than-six-months,50,67,math-bit,math-bit,periph,1.0
google,more-than-six-months,66,68,math-bit,math-bit,periph,1.0
google,more-than-six-months,424,69,sliding-window,sliding-window,periph,1.0
google,more-than-six-months,238,70,prefix-sum,prefix-sum,periph,1.0
google,more-than-six-months,485,71,sliding-window,sliding-window,periph,1.0
google,more-than-six-months,67,72,math-bit,math-bit,periph,1.0
google,more-than-six-months,239,73,monotonic-stack,stack,periph,1.0
google,more-than-six-months,295,74,heap-topk,heap-select,periph,1.0
google,more-than-six-months,994,75,bfs,graph-search,core,1.0
google,more-than-six-months,34,76,binary-search,binary-search,periph,1.0
google,more-than-six-months,231,77,math-bit,math-bit,periph,1.0
google,more-than-six-months,19,78,fast-slow,two-pointers,periph,1.0
google,more-than-six-months,207,79,topo-sort,graph-search,core,1.0
google,more-than-six-months,354,80,binary-search,binary-search,periph,1.0
google,more-than-six-months,62,81,dp-grid,dp,core,1.0
google,more-than-six-months,300,82,dp-linear,dp,core,1.0
google,more-than-six-months,10,83,dp-grid,dp,core,1.0
google,more-than-six-months,224,84,pairing-stack,stack,periph,1.0
google,more-than-six-months,23,85,heap-topk,heap-select,periph,1.0
google,more-than-six-months,78,86,backtracking,backtracking,core,1.0
google,more-than-six-months,85,87,monotonic-stack,stack,periph,1.0
google,more-than-six-months,349,88,hashing,hashing,periph,1.0
google,more-than-six-months,3625,89,geometry,math-bit,periph,1.0
google,more-than-six-months,3355,90,diff-array,intervals,periph,1.0
google,more-than-six-months,124,91,dp-tree,dp,core,1.0
google,more-than-six-months,125,92,two-pointers,two-pointers,periph,1.0
google,more-than-six-months,704,93,binary-search,binary-search,periph,1.0
google,more-than-six-months,1944,94,monotonic-stack,stack,periph,1.0
google,more-than-six-months,152,95,dp-linear,dp,core,1.0
google,more-than-six-months,322,96,dp-knapsack,dp,core,1.0
google,more-than-six-months,46,97,backtracking,backtracking,core,1.0
google,more-than-six-months,69,98,binary-search,binary-search,periph,1.0
google,more-than-six-months,45,99,greedy,greedy,periph,1.0
google,more-than-six-months,135,100,greedy,greedy,periph,1.0
google,more-than-six-months,155,101,design,design,periph,1.0
google,more-than-six-months,36,102,hashing,hashing,periph,1.0
google,more-than-six-months,1101,103,union-find,graph-search,periph,1.0
google,more-than-six-months,16,104,two-pointers,two-pointers,periph,1.0
google,more-than-six-months,41,105,hashing,hashing,periph,1.0
google,more-than-six-months,151,106,string-other,string,periph,1.0
google,more-than-six-months,217,107,hashing,hashing,periph,1.0
google,more-than-six-months,416,108,dp-knapsack,dp,core,1.0
google,more-than-six-months,2877,109,trivial,trivial,trivial,1.0
google,more-than-six-months,3623,110,geometry,math-bit,periph,1.0
google,more-than-six-months,234,111,fast-slow,two-pointers,periph,1.0
google,more-than-six-months,37,112,backtracking,backtracking,core,1.0
google,more-than-six-months,122,113,greedy,greedy,periph,1.0
google,more-than-six-months,68,114,string-other,string,periph,1.0
google,more-than-six-months,141,115,fast-slow,two-pointers,periph,1.0
google,more-than-six-months,1004,116,sliding-window,sliding-window,periph,1.0
google,more-than-six-months,61,117,linked-list,linked-list,periph,1.0
google,more-than-six-months,175,118,sql,sql,trivial,1.0
google,more-than-six-months,907,119,monotonic-stack,stack,periph,1.0
google,more-than-six-months,25,120,linked-list,linked-list,periph,1.0
google,more-than-six-months,219,121,hashing,hashing,periph,1.0
google,more-than-six-months,3453,122,binary-search,binary-search,periph,1.0
google,more-than-six-months,39,123,backtracking,backtracking,core,1.0
google,more-than-six-months,402,124,monotonic-stack,stack,periph,1.0
google,more-than-six-months,876,125,fast-slow,two-pointers,periph,1.0
google,more-than-six-months,131,126,backtracking,backtracking,core,1.0
google,more-than-six-months,852,127,binary-search,binary-search,periph,1.0
google,more-than-six-months,167,128,two-pointers,two-pointers,periph,1.0
google,more-than-six-months,204,129,number-theory,math-bit,periph,1.0
google,more-than-six-months,380,130,design,design,periph,1.0
google,more-than-six-months,509,131,dp-linear,dp,core,1.0
google,more-than-six-months,715,132,design,design,periph,1.0
google,more-than-six-months,939,133,hashing,hashing,periph,1.0
google,more-than-six-months,584,134,sql,sql,trivial,1.0
google,more-than-six-months,843,135,string-other,string,periph,1.0
google,more-than-six-months,904,136,sliding-window,sliding-window,periph,1.0
google,more-than-six-months,72,137,dp-grid,dp,core,1.0
google,more-than-six-months,226,138,tree-traversal,tree,core,1.0
google,more-than-six-months,100,139,tree-traversal,tree,core,1.0
google,more-than-six-months,176,140,sql,sql,trivial,1.0
google,more-than-six-months,205,141,hashing,hashing,periph,1.0
google,more-than-six-months,493,142,binary-search,binary-search,periph,1.0
google,more-than-six-months,543,143,tree-aggregate,tree,core,1.0
google,more-than-six-months,1929,144,trivial,trivial,trivial,1.0
google,more-than-six-months,76,145,sliding-window,sliding-window,periph,1.0
google,more-than-six-months,287,146,fast-slow,two-pointers,periph,1.0
google,more-than-six-months,595,147,sql,sql,trivial,1.0
google,more-than-six-months,1148,148,sql,sql,trivial,1.0
google,more-than-six-months,2337,149,two-pointers,two-pointers,periph,1.0
google,more-than-six-months,3481,150,string-other,string,periph,1.0
google,more-than-six-months,12,151,string-other,string,periph,1.0
google,more-than-six-months,29,152,math-bit,math-bit,periph,1.0
google,more-than-six-months,90,153,backtracking,backtracking,core,1.0
google,more-than-six-months,739,154,monotonic-stack,stack,periph,1.0
google,more-than-six-months,1825,155,design,design,periph,1.0
google,more-than-six-months,58,156,string-other,string,periph,1.0
google,more-than-six-months,79,157,backtracking,backtracking,core,1.0
google,more-than-six-months,443,158,two-pointers,two-pointers,periph,1.0
google,more-than-six-months,448,159,hashing,hashing,periph,1.0
google,more-than-six-months,528,160,binary-search,binary-search,periph,1.0
google,more-than-six-months,1071,161,string-other,string,periph,1.0
google,more-than-six-months,1207,162,hashing,hashing,periph,1.0
google,more-than-six-months,1752,163,two-pointers,two-pointers,periph,1.0
google,more-than-six-months,8,164,string-other,string,periph,1.0
google,more-than-six-months,179,165,greedy,greedy,periph,1.0
google,more-than-six-months,567,166,sliding-window,sliding-window,periph,1.0
google,more-than-six-months,912,167,heap-topk,heap-select,periph,1.0
google,more-than-six-months,2402,168,heap-topk,heap-select,periph,1.0
google,more-than-six-months,57,169,merge-intervals,intervals,periph,1.0
google,more-than-six-months,130,170,dfs-flood,graph-search,periph,1.0
google,more-than-six-months,229,171,hashing,hashing,periph,1.0
google,more-than-six-months,268,172,math-bit,math-bit,periph,1.0
google,more-than-six-months,547,173,union-find,graph-search,periph,1.0
google,more-than-six-months,1011,174,binary-search,binary-search,periph,1.0
google,more-than-six-months,139,175,dp-linear,dp,core,1.0
google,more-than-six-months,148,176,linked-list,linked-list,periph,1.0
google,more-than-six-months,197,177,sql,sql,trivial,1.0
google,more-than-six-months,236,178,tree-aggregate,tree,core,1.0
google,more-than-six-months,326,179,math-bit,math-bit,periph,1.0
google,more-than-six-months,1480,180,prefix-sum,prefix-sum,periph,1.0
google,more-than-six-months,3356,181,diff-array,intervals,periph,1.0
google,more-than-six-months,44,182,dp-grid,dp,core,1.0
google,more-than-six-months,101,183,tree-traversal,tree,core,1.0
google,more-than-six-months,127,184,bfs,graph-search,core,1.0
google,more-than-six-months,134,185,greedy,greedy,periph,1.0
google,more-than-six-months,138,186,linked-list,linked-list,periph,1.0
google,more-than-six-months,345,187,two-pointers,two-pointers,periph,1.0
google,more-than-six-months,1661,188,sql,sql,trivial,1.0
google,more-than-six-months,102,189,bfs,graph-search,core,1.0
google,more-than-six-months,344,190,two-pointers,two-pointers,periph,1.0
google,more-than-six-months,389,191,math-bit,math-bit,periph,1.0
google,more-than-six-months,392,192,two-pointers,two-pointers,periph,1.0
google,more-than-six-months,494,193,dp-knapsack,dp,core,1.0
google,more-than-six-months,962,194,monotonic-stack,stack,periph,1.0
google,more-than-six-months,1838,195,sliding-window,sliding-window,periph,1.0
google,more-than-six-months,92,196,linked-list,linked-list,periph,1.0
google,more-than-six-months,94,197,tree-traversal,tree,core,1.0
google,more-than-six-months,328,198,linked-list,linked-list,periph,1.0
google,more-than-six-months,417,199,dfs-flood,graph-search,periph,1.0
google,more-than-six-months,74,200,binary-search,binary-search,periph,1.0
amazon,all,1,1,hashing,hashing,periph,1.0
amazon,all,146,2,design,design,periph,1.0
amazon,all,42,3,monotonic-stack,stack,periph,1.0
amazon,all,200,4,dfs-flood,graph-search,periph,1.0
amazon,all,3,5,sliding-window,sliding-window,periph,1.0
amazon,all,121,6,dp-linear,dp,core,1.0
